results	1
869899	1	Gold Medal	10	1513	292
869995	2	Gold Medal	9	816	179
670199	3	Gold Medal	9	930	252
870872	4	Gold Medal	9	1015	251
670204	5	Silver Medal	9	1186	282
869923	6	Silver Medal	9	1200	263
869947	7	Silver Medal	9	1282	293
869997	8	Silver Medal	8	1048	292
869927	9	Bronze Medal	8	1084	250
869901	10	Bronze Medal	8	1195	299
869902	11	Bronze Medal	8	1212	287
869928	12	Bronze Medal	8	1325	276
869903	13	Ranked	7	832	237
670203	13	Ranked	7	1013	274
869999	13	Ranked	7	1026	299
870000	13	Ranked	7	693	190
869910	13	Ranked	7	700	216
869925	13	Ranked	7	1165	298
670201	13	Ranked	7	849	217
670202	13	Ranked	7	819	275
881826	13	Ranked	7	719	196
870001	13	Ranked	7	1030	263
869998	13	Ranked	7	839	272
869953	13	Ranked	7	1225	291
670206	13	Ranked	7	1023	286
869753	26	Ranked	6	878	266
869945	26	Ranked	6	534	155
869914	26	Ranked	6	724	203
869939	26	Ranked	6	1029	289
870008	26	Ranked	6	793	291
869961	26	Ranked	6	794	190
873751	26	Ranked	6	866	265
869968	26	Ranked	6	661	198
870719	26	Ranked	6	1221	292
873625	26	Ranked	6	918	273
870012	26	Ranked	6	831	203
869954	26	Ranked	6	682	189
869924	26	Ranked	6	914	267
869948	26	Ranked	6	423	144
670205	26	Ranked	6	608	176
881734	26	Ranked	6	772	258
869930	26	Ranked	6	1231	295
870013	26	Ranked	6	897	208
869913	26	Ranked	6	778	191
670200	26	Ranked	6	755	224
870005	26	Ranked	6	653	175
869957	26	Ranked	6	1106	293
870007	26	Ranked	6	985	292
870698	26	Ranked	6	748	191
869985	26	Ranked	6	989	236
869918	26	Ranked	6	785	200
869956	26	Ranked	6	1443	279
869931	26	Ranked	6	720	239
869906	26	Ranked	6	752	238
869908	26	Ranked	6	1243	297
869955	26	Ranked	6	670	174
871983	26	Ranked	6	648	169
871350	26	Ranked	6	411	110
869900	26	Ranked	6	929	240
869960	26	Ranked	6	922	289
869751	61	Ranked	5	672	186
869752	61	Ranked	5	793	288
870014	61	Ranked	5	544	245
869750	61	Ranked	5	632	269
869905	61	Ranked	5	689	225
869935	61	Ranked	5	807	283
869933	61	Ranked	5	532	235
869932	61	Ranked	5	1022	279
869911	61	Ranked	5	526	173
870015	61	Ranked	5	938	266
869917	61	Ranked	5	715	245
870002	61	Ranked	5	773	273
869909	61	Ranked	5	440	145
869907	61	Ranked	5	821	287
869984	61	Ranked	5	690	219
869983	61	Ranked	5	1007	292
869993	61	Ranked	5	751	287
869921	61	Ranked	5	853	283
870009	61	Ranked	5	698	270
654443	61	Ranked	5	752	250
869922	61	Ranked	5	859	240
670207	61	Ranked	5	649	220
870720		Honorable	4	707	299
869755		Honorable	2	116	96
869759		Honorable	4	512	196
869754		Honorable	4	646	238
883367		Honorable	2	248	208
869915		Honorable	3	661	288
869756		Honorable	2	328	287
870752		Honorable	3	293	116
869937		Honorable	1	171	131
869919		Honorable	4	587	198
869758		Honorable	2	274	221
869920		Honorable	2	309	276
869943		Honorable	4	617	287
869940		Honorable	3	235	118
869941		Honorable	3	367	195
869936		Honorable	4	631	273
670208		Honorable	4	613	241
870870		Honorable	4	604	263
869970		Honorable	3	406	191
869991		Honorable	4	711	299
869934		Honorable	3	280	158
869760		Honorable	3	431	237
869942		Honorable	4	873	292
869929		Honorable	4	575	262
870003		Honorable	4	466	167
869938		Honorable	4	603	253
870868		Honorable	1	30	30
869912		Honorable	4	500	286
869757		Honorable	1	31	31
869971		Honorable	2	238	194
869987		Honorable	4	368	144
869986		Honorable	3	438	243
869969		Honorable	3	451	258
869966		Honorable	4	545	276
869967		Honorable	3	487	298
869994		Honorable	3	510	290
869988		Honorable	4	387	152
869990		Honorable	1	42	42
869992		Honorable	3	365	172
870011		Honorable	4	688	282
870004		Honorable	4	700	271
878043		Honorable	3	565	272
