File_Version	1
21627	British Columbia - UBC D1
321627	British Columbia - UBC D2
21624	Washington - UW Tacoma D1
321624	Washington - UW Tacoma D2
21626	Oregon - George Fox D1
321626	Oregon - George Fox D2
21623	California - Chico State D1
321623	California - Chico State D2
21625	Hawaii - BYUH D1
321625	Hawaii - BYUH D2
21638	University of Alberta D3
21634	Colorado School of Mines D3
21629	Brigham Young University D3
