31560	1267	A	Berkeley Blue	University of California at Berkeley	UC Berkeley	http://www.berkeley.edu	USA	Y
31562	1266	A	Whitworth O( n! )	Whitworth College	Whitworth	http://www.whitworth.edu	USA	N
31563	1266	A	Whitworth O( lg(n) )	Whitworth College	Whitworth	http://www.whitworth.edu	USA	N
31564	1266	A	Whitworth O(n)	Whitworth College	Whitworth	http://www.whitworth.edu	USA	N
31567	1267	A	Berkeley Gold	University of California at Berkeley	UC Berkeley	http://www.berkeley.edu	USA	Y
31568	1267	A	Berkeley Radicals	University of California at Berkeley	UC Berkeley	http://www.berkeley.edu	USA	Y
31569	1267	A	Pacific CTRL	University of the Pacific	Pacific	http://www.pacific.edu	USA	N
31574	1266	A	Gonzaga Bulldogs	Gonzaga University	Gonzaga U.	http://www.gonzaga.edu	USA	N
31613	1267	A	Hornet 1	California State University - Sacramento	CSU, Sacramento	http://www.csus.edu	USA	Y
31614	1267	A	Hornet 2	California State University - Sacramento	CSU, Sacramento	http://www.csus.edu	USA	Y
31615	1267	A	Hornet 3	California State University - Sacramento	CSU, Sacramento	http://www.csus.edu	USA	Y
31624	1266	A	Widgeons	University of Oregon	U of Oregon	http://www.uoregon.edu	USA	Y
31702	1267	A	Pacific ALT	University of the Pacific	Pacific	http://www.pacific.edu	USA	N
31710	1267	A	Pacific DEL	University of the Pacific	Pacific	http://www.pacific.edu	USA	N
31824	1267	A	Davis A	University of California at Davis	UC Davis	http://www.ucdavis.edu/	USA	Y
31825	1267	A	 CWC	University of California at Davis	UC Davis	http://www.ucdavis.edu/	USA	Y
31864	1266	A	Sed Zeppelin	Western Washington University	WWU	http://www.wwu.edu/	USA	Y
31865	1266	A	S. S. Botany Bay	Western Washington University	WWU	http://www.wwu.edu/	USA	Y
31952	1266	A	Easy Beavers	Oregon State University	OSU	http://www.oregonstate.edu	USA	Y
31953	1266	A	Busy Beavers	Oregon State University	OSU	http://www.oregonstate.edu	USA	Y
