Teams	2
123	274695	10755	Curiously recurring	Utrecht University	Utrecht University	NLD	INST-2625
63	274696	10755	That empty teamname	Radboud University	Radboud	NLD	INST-8002
20	274968	10755	rETHink	ETH Zürich	ETH Zürich	CHE	INST-0451
122	274973	10755	Ural FU: Dandelion	Ural Federal University	Ural FU	RUS	INST-5316
75	274974	10755	SPb SU 1: Base	St. Petersburg State University	St. Petersburg SU	RUS	INST-1802
46	274975	10755	MIPT: Jinotega	Moscow Institute of Physics & Technology	MIPT	RUS	INST-1220
47	274976	10755	Moscow SU Trinity	Moscow State University	Moscow SU	RUS	INST-1237
74	274977	10755	SPb ITMO University 1	St. Petersburg ITMO University	SPbSU ITMO	RUS	INST-3295
53	274978	10755	Nizhny Novgorod SU 1	Nizhny Novgorod State University	UNN	RUS	INST-1338
8	274979	10755	Belarusian SUIR 2	Belarusian State University of Informatics and Radioelectronics	BSUIR	BLR	INST-0140
65	274980	10755	Saratov SU Daemons	Saratov State University	Saratov State U	RUS	INST-1623
73	274981	10755	SPbAU 1 Generation Z	St. Petersburg Academic University	St. Petersburg AU	RUS	INST-3526
31	274982	10755	Innopolis U Known	Innopolis University	Innopolis	RUS	INST-7857
7	274983	10755	BelarusianSU1	Belarusian State University	Belarusian SU	BLR	INST-0144
45	274984	10755	MEPhI: Cupcakes	Moscow Engineering Physics Institute	MEPhI	RUS	INST-1215
57	274985	10755	Northern (Arctic) FU 1	Northern (Arctic) Federal University	NArFU	RUS	INST-5731
44	274986	10755	MAI #1	Moscow Aviation Institute	MAI	RUS	INST-1214
90	275242	10751	UNDynamic	Universidad Nacional de Colombia - Bogotá	UNAL Bogotá	COL	INST-3272
114	275244	10752	USC Trojans	University of Southern California	USC	USA	INST-2519
72	275245	10752	SDSMT Hardrockers	South Dakota School of Mines and Technology	SDSM&T	USA	INST-1741
54	275259	10754	NSU BugLovers	North South University	North South U	BGD	INST-1348
37	275260	10754	JU_O(N^3)	Jahangirnagar University	JU	BGD	INST-0935
34	275261	10754	Aspire	Islamic Azad University of Mashhad	I.A.U	IRN	INST-0878
70	275262	10754	CrockPot	Sharif University of Technology	Sharif UT	IRN	INST-1677
66	275263	10754	In 1010101 We Trust!	Shahid Beheshti University	SBU	IRN	INST-1647
84	275264	10754	Wunderzeit	Tsinghua University	Tsinghua	CHN	INST-2039
60	275265	10754	Crawl	Peking University	Peking U	CHN	INST-1438
127	275266	10754	Siunaus	Zhejiang University	Zhejiang U	CHN	INST-2751
52	275267	10754	what duang to eat dinner	Ningbo University	NBU	CHN	INST-3058
78	275268	10754	Real Base	The Chinese University of Hong Kong	CUHK	HKG	INST-1942
39	275269	10754	RNS	Kim Il Sung University	RyongNamSan	PRK	INST-6359
5	275270	10754	TheWaySoFar	Beihang University	BUAA	CHN	INST-3120
128	275271	10754	SYSU_Braid	Zhongshan (Sun Yat-sen) University	Zhongshan U	CHN	INST-2755
50	275272	10754	ALPC_Farewell	National University of Defense Technology	NUDT	CHN	INST-1315
56	275273	10754	NEU_I forgot it.	Northeastern University (China)	NEU	CHN	INST-2825
69	275274	10754	Wand Maker	Shanghai University	SHU	CHN	INST-1672
55	275275	10754	Daedalus	Northeast Normal University	NENU	CHN	INST-1351
126	275276	10754	NoPenalty	Zhejiang Normal University	ZJNU	CHN	INST-3220
6	275277	10754	heheda	Beijing University of Posts and Telecommunications	BUPT	CHN	INST-0137
40	275278	10754	Opportunity	Korea University	Korea U	KOR	INST-1026
38	275279	10754	[A-Za-z0-9]+	KAIST	KAIST	KOR	INST-1025
59	275280	10754	chikOkU	Osaka University	Osaka U	JPN	INST-2858
108	275281	10754	BYTE	University of Engineering and Technology - VNU	UET -VNU	VNM	INST-3663
23	275282	10754	HCMUS - Shine	Ho Chi Minh City University of Science	HCMUS	VNM	INST-4261
51	275283	10754	RRwatameda	National University of Singapore	NUS	SGP	INST-1316
48	275284	10754	NCTU_Thor	National Chiao Tung University	NCTU	TWN	INST-0275
41	275285	10754	breakShot	Kyoto University	Kyoto U	JPN	INST-1058
101	275286	10754	FinalZukky	University of Aizu	U Aizu	JPN	INST-1962
71	275302	10754	SOX	South China University of Technology	South China UT	CHN	INST-1740
107	275303	10754	UESTC_murasame	University of Electronic Science and Technology of China	UESTC	CHN	INST-1973
82	275304	10754	TJU_Thief_Master	Tianjin University	Tianjin U	CHN	INST-2001
67	275305	10754	DownToTheWire	Shahjalal University of Science and Technology	SUST	BGD	INST-1654
61	275306	10754	FEDEX	Prince of Songkla University	PSU	THA	INST-3240
68	275307	10754	Dreadnought	Shanghai Jiao Tong University	SJTU	CHN	INST-1663
21	275308	10754	Saga	Fudan University	Fudan U	CHN	INST-0574
49	275309	10754	bcw0x1bd2	National Taiwan University	National Taiwan U	TWN	INST-1303
15	275310	10754	CUCP Meow Meow :3	Chulalongkorn University	Chulalongkorn U	THA	INST-3514
80	275324	10754	IIIlIIIllIIlIlIIllIlIllllllIII	The University of Tokyo	U Tokyo	JPN	INST-1987
28	275325	10754	angle	Indian Institute of Technology - Delhi	IIT Delhi	IND	INST-0725
30	275327	10754	11Coders	Indian Institute of Technology - Roorkee	IIT Roorkee	IND	INST-0722
26	275328	10754	Greed_for_Speed	Indian Institute of Information Technology - Allahabad	IIITA	IND	INST-3883
29	275330	10754	FacelessMen	Indian Institute of Technology - Kanpur	IIT Kanpur	IND	INST-0727
4	275349	10754	Fuchsia Moth	Ateneo de Manila University	ADMU	PHL	INST-0096
27	275350	10754	ntm	Indian Institute of Technology - Bombay	IIT Bombay	IND	INST-0724
9	275427	10754	stronglyConnected	Birla Institute of Technology & Science, Pilani Campus	BITS Pilani	IND	INST-4223
