File_Version	1
47045	870633	21501	Maanzar	Indian Institute of Technology - Patna	IIT Patna	IND	INST-6908
47046	870634	21501	Pratyahara	Indian Institute Of Technology Jodhpur	IITJ	IND	INST-9636
47008	870635	21501	BUET Sommohito	Bangladesh University of Engineering and Technology	BUET	BGD	INST-114
47015	870636	21501	:(){ :|:& };:	BITS-Pilani, Hyderabad Campus	BITS-Pilani Hyderabad	IND	INST-5628
47050	870637	21501	BForBruteForce	Jadavpur University, Kolkata	JU	IND	INST-3945
47016	870638	21501	BRACU_Crows	BRAC University	BRACU	BGD	INST-181
47039	870639	21501	Leaf Papad	Indian Institute of Technology - Bombay	IIT Bombay	IND	INST-724
47013	870640	21501	jaggu's bois	Birla Institute of Technology and Science, Pilani Campus	BITS Pilani	IND	INST-4223
47025	870641	21501	Silent 3lers	Dhirubhai Ambani Institute of Information and Communication Technology, Gandhinagar	DA-IICT	IND	INST-3944
47127	870642	21496	Infinity	University of Novi Sad	UNS	SRB	INST-3065
47071	870643	21496	bird-cherry	Neapolis University Pafos	NUP	CYP	INST-8667
47058	870644	21496	LNU Stallions	Lviv National University	Lviv NU	UKR	INST-3375
47114	870645	21496	Echipa Sarata	University of Bucharest	UniBuc	ROU	INST-196
47051	870646	21496	Jagiellonian 1	Jagiellonian University in Krakow	Jagiellonian	POL	INST-931
47132	870647	21496	Warsaw Eagles 2023	University of Warsaw	U Warsaw	POL	INST-2673
47022	870648	21496	MFF3	Charles University	Charles U	CZE	INST-269
47119	870649	21496	Trinity's Trinity	University of Cambridge	Cambridge	GBR	INST-2343
47057	870650	21496	ezcp	Lund University	LU	SWE	INST-1112
47113	870651	21496	Algos but Greek chars	University of Bergen	UiB	NOR	INST-2320
47128	870652	21496	lamelame	University of Oxford	Oxford	GBR	INST-3620
47077	870653	21496	⊛˯⛒	Saarland University	UdS	DEU	INST-2267
47027	870654	21496	ENS Ulm 1	École Normale Supérieure de Paris	ENS Paris	FRA	INST-3436
47029	870656	21496	gETHyped	ETH Zürich	ETH Zürich	CHE	INST-451
47110	870657	21496	flag[10]	Università di Pisa	UNIPI	ITA	INST-8869
47106	870658	21496	Heroes of the C	Universidade do Porto	U Porto	PRT	INST-478
47100	870659	21514	UH Top	Universidad de La Habana	UH	CUB	INST-2112
47099	870660	21514	OWO	Universidad de Guanajuato - DCNE	UG-CIMAT	MEX	INST-8140
47104	870661	21514	UPsolving	Universidad Panamericana Campus Bonaterra	UP Bonaterra	MEX	INST-3372
47030	870662	21514	Cagua++	Facultad de Ciencias-Universidad Nacional Autónoma de México	FC-UNAM	MEX	INST-7138
47028	870663	21514	Exceso de Fé	Escuela Superior De Computo Instituto Politecnico Nacional	ESCOM IPN	MEX	INST-467
47098	870664	21514	Almost Retired	Universidad de Guadalajara CUCEI	UdG CUCEI	MEX	INST-3424
47109	870665	21514	Lebenslangerschicksalsschatz	Universidade Federal do Rio de Janeiro	UFRJ	BRA	INST-2242
47108	870666	21514	Humuhumunukunukuapua'a	Universidade Federal de Minas Gerais	UFMG	BRA	INST-2230
47107	870667	21514	Você beijaria Matheus Leal Viana?	Universidade Estadual de Campinas	UNICAMP	BRA	INST-2216
47048	870668	21514	12k Club	Instituto Militar de Engenharia	IME	BRA	INST-2951
47105	870669	21514	FLAMENGO	Universidade de Brasília	UnB	BRA	INST-2195
47096	870670	21514	una ma y no inchamo ma	Universidad de Buenos Aires - FCEN	UBA - FCEN	ARG	INST-3683
47103	870671	21514	Don Gato	Universidad Nacional de Rosario	UNR	ARG	INST-2154
47075	870672	21514	Laranjas.clear()	Pontificia Universidad Católica de Chile	PUC	CHL	INST-1480
47102	870673	21514	phiUN	Universidad Nacional de Colombia - Bogotá	UNAL Bogotá	COL	INST-3272
47026	870674	21514	Fast and Fourier	EAFIT University	EAFIT	COL	INST-3257
47097	870675	21514	UCR Mix	Universidad de Costa Rica	UCR	CRI	INST-5716
47101	870676	21514	Club de Frontón 2880	Universidad Mayor de San Simón	UMSS	BOL	INST-3503
47060	870678	21502	Yolki-palki	Moscow Institute of Physics and Technology	MIPT	RUS	INST-1220
47065	870679	21502	FFTilted	National Research University Higher School of Economics	HSE	RUS	INST-3534
47088	870680	21502	Urgant Team	St. Petersburg State University	St. Petersburg SU	RUS	INST-1802
