File_Version	1
73	310494	11738	UT White	The University of Texas at Austin	UT Austin	USA	INST-2537
98	310495	11738	Alberta Gold	University of Alberta	U Alberta	CAN	INST-2306
38	310849	11735	LNU AlgoTesters	Lviv National University	Lviv NU	UKR	INST-3375
127	310852	11735	UzhNU_MagicalPony	Uzhgorod National University	UzhNU	UKR	INST-4444
69	310854	11735	The Alphas	Taras Shevchenko National University of Kyiv	TS Kyiv NU	UKR	INST-1872
54	310856	11735	TeamName	POLITEHNICA University of Bucharest	PUB	ROU	INST-0005
100	310857	11735	Echipa Lacheta	University of Bucharest	UniBuc	ROU	INST-0196
76	310858	11735	LogicError	TOBB University of Economics and Technology	TOBB ETU	TUR	INST-4673
99	310869	11738	UBC*	University of British Columbia	U British Columbia	CAN	INST-2324
101	310882	11738	Berkeley Blue	University of California at Berkeley	UC Berkeley	USA	INST-2337
122	310894	11738	Waterloo Royal Blue	University of Waterloo	U Waterloo	CAN	INST-2566
114	310895	11738	Victors	University of Michigan at Ann Arbor	U Michigan	USA	INST-2423
11	310897	11738	Cedarville Blue	Cedarville University	Cedarville Univ	USA	INST-0237
123	310898	11738	Chang	University of Wisconsin - Madison	U Wisconsin - Madison	USA	INST-2574
65	310899	11738	SDSMT Hardrockers	South Dakota School of Mines and Technology	SDSM&T	USA	INST-1741
32	310900	11738	Team.getName()	Iowa State University	Iowa State U	USA	INST-0860
129	310901	11738	PriorityQueues for President	Virginia Tech	Virginia Tech	USA	INST-2648
117	310902	11738	UPENN RED	University of Pennsylvania	Penn	USA	INST-2471
105	311024	11738	UCF Knights	University of Central Florida	U Central Florida	USA	INST-2349
113	311104	11738	UMDblack	University of Maryland	U Maryland	USA	INST-2411
102	311244	11738	filter	University of California Irvine	UC Irvine	USA	INST-3670
49	311413	11738	WildWildCats	Northwestern University	Northwestern	USA	INST-3536
130	311414	11738	Indigo	Washington University in St. Louis	Washington U - St. Louis	USA	INST-2678
110	311417	11738	Time Limit Exceeded	University of Illinois at Urbana-Champaign	U Illinois at U-C	USA	INST-2387
83	311440	11744	UH++	Universidad de La Habana	Univ of Havana	CUB	INST-2112
84	311488	11744	sUrPRise	Universidad de Pinar del Río	UPR	CUB	INST-4186
19	311489	11744	PU++	Facultad de Ciencias-Universidad Nacional Autónoma de México	FC-UNAM	MEX	INST-7138
29	311492	11744	Los Románticos	Instituto Tecnológico Autónomo de México	ITAM	MEX	INST-0791
80	311493	11744	Los A´S	Universidad Autónoma de Nuevo Leon	UANL	MEX	INST-2080
81	311497	11744	PUMMAS	Universidad de Buenos Aires - FCEN	UBA - FCEN	ARG	INST-3683
55	311498	11744	O(1) O(n) O(u(n))	Pontificia Universidad Católica del Perú - FCI	PUCP-FCI	PER	INST-7526
87	311506	11744	Gracias Demetrio	Universidad Nacional de Córdoba - FaMAF	UNC-FaMAF	ARG	INST-0492
88	311508	11744	You’ve gone incognito :$	Universidad Nacional de Rosario	UNR	ARG	INST-2154
85	311517	11744	team.getAnotherName()	Universidad Mayor de San Simon - Sistemas	UMSS	BOL	INST-5634
82	311520	11744	El equipo de Paulsen	Universidad de Chile	UChile	CHL	INST-2107
89	311611	11744	O(-1)	Universidad Simón Bolívar	USB	VEN	INST-2172
86	311612	11744	UNBounded	Universidad Nacional de Colombia - Bogotá	UNAL Bogotá	COL	INST-3272
94	311613	11744	0xE	Universidade Federal de Pernambuco	UFPE	BRA	INST-2232
90	311614	11744	Veni Vidi Codi	Universidade Estadual de Campinas	UNICAMP	BRA	INST-2216
91	311615	11744	Robério e Seu Teclado	Universidade Federal da Bahia	UFBA	BRA	INST-2224
93	311616	11744	Epic Sax Guys	Universidade Federal de Itajubá - Campus Itajubá	UNIFEI	BRA	INST-3078
92	311617	11744	!xor&!	Universidade Federal de Campina Grande	UFCG	BRA	INST-2227
95	311618	11744	Ginga com Tapioca	Universidade Federal do Rio Grande do Norte	UFRN	BRA	INST-2243
72	311655	11738	Roadrunners	The University of South Dakota	USD	USA	INST-1982
56	312247	11738	Princeton	Princeton University	Princeton	USA	INST-4307
17	312492	11735	ENS Ulm	École Normale Supérieure de Paris	ENS Paris	FRA	INST-3436
18	312493	11735	rETHink again	ETH Zürich	ETH Zürich	CHE	INST-0451
121	312494	11735	Warsaw Eagles	University of Warsaw	U Warsaw	POL	INST-2673
125	312495	11735	Zagreb	University of Zagreb	Zagreb	HRV	INST-2762
124	312496	11735	UWr1	University of Wroclaw	U Wroclaw	POL	INST-2589
33	312497	11735	Jagiellonian	Jagiellonian University in Krakow	Jagiellonian	POL	INST-0931
37	312498	11735	Omogen Heap	KTH - Royal Institute of Technology	KTH	SWE	INST-1039
109	312499	11735	Game of Nolife	University of Helsinki	U Helsinki	FIN	INST-3330
116	312500	11735	Catz CS Society	University of Oxford	Oxford	GBR	INST-3620
2	312663	11737	DebugMyHair	Arab Academy for Science and Technology (Alexandria)	AAST Alexandria	EGY	INST-0081
75	312664	11737	NCD#1	Tishreen University	Tishreen	SYR	INST-3775
20	312665	11737	TsukeenamiElRashidy	Faculty of Computer and Information Sciences, Ain Shams University	FCIS Ain Shams	EGY	INST-3664
1	312666	11737	NoNameFoundException	Al-Baath University	Al-Baath	SYR	INST-7113
70	312667	11737	BitsPlease	The American University in Cairo	AUC	EGY	INST-1936
24	312668	11737	balabizoo	German University in Cairo	German Uni Cairo	EGY	INST-3519
21	312669	11737	The Unlooked-for	Faculty of Engineering (at Shoubra), Benha University	Feng-BU	EGY	INST-4359
10	312670	11737	s2++; Returns	Cairo University - Faculty of Computers and Information	Cairo-FCI	EGY	INST-3348
15	312671	11737	Y!	Damascus University	Damascus U	SYR	INST-0358
104	312869	11737	If Cats Programmed Computers	University of Cape Town	U Cape Town	ZAF	INST-2346
39	312870	11738	MIT ONE	Massachusetts Institute of Technology	MIT	USA	INST-1145
118	312871	11738	YellowJackets	University of Rochester	U Rochester	USA	INST-2493
43	312872	11738	MTA Team Alpha	Mount Allison University	Mount Allison	CAN	INST-1242
14	313126	11738	Cornell 1	Cornell University	Cornell	USA	INST-0339
115	313198	11743	AbishforesT	University of New South Wales	U New South Wales	AUS	INST-2449
40	313199	11743	BuildAFirewall	Monash University	Monash	AUS	INST-7294
68	313264	11735	SPb SU Base	St. Petersburg State University	St. Petersburg SU	RUS	INST-1802
67	313265	11735	SPb ITMO University 1	St. Petersburg ITMO University	SPb ITMO	RUS	INST-3295
41	313266	11735	Moscow IPT: Jinotega	Moscow Institute of Physics & Technology	MIPT	RUS	INST-1220
126	313268	11735	Ural FU: Charmander	Ural Federal University	Ural FU	RUS	INST-5316
8	313269	11735	Belarusian SUIR #2	Belarusian State University of Informatics and Radioelectronics	BSUIR	BLR	INST-0140
128	313270	11735	VU #1	Vilnius University	VU	LTU	INST-2643
50	313271	11735	Novosibirsk SU	Novosibirsk State University	Novosibirsk SU	RUS	INST-1372
66	313272	11735	SPb AU 3: Bandity	St. Petersburg Academic University	St. Petersburg AU	RUS	INST-3526
111	313273	11735	LU 1	University of Latvia	Latvia	LVA	INST-2400
58	313274	11735	Saratov State University 2	Saratov State University	Saratov State U	RUS	INST-1623
