results	1
825062	22	Ranked	6	931	249
825063	22	Ranked	6	952	218
825070	4	Bronze Medal	9	1045	263
825071	1	Gold Medal	11	1443	296
825072	10	Ranked	8	942	278
825073	2	Silver Medal	10	1501	253
825086	7	Ranked	9	1423	239
825087	10	Ranked	8	1039	282
825088		Honorable	4	659	231
825091		Honorable	5	876	240
825094	13	Ranked	7	1203	260
825095	22	Ranked	6	905	256
825099		Honorable	4	510	194
825100		Honorable	5	608	256
825105		Honorable	3	529	263
825106		Honorable	3	451	162
825107	22	Ranked	6	1159	244
825108	13	Ranked	7	1271	259
825114		Honorable	2	511	287
825115		Honorable	4	517	295
825116	13	Ranked	7	992	276
825117		Honorable	5	1133	272
825123		Honorable	4	445	172
825124	7	Ranked	9	1407	247
825130		Honorable	5	742	283
825131	10	Ranked	8	1126	286
825132		Honorable	4	281	159
825133	22	Ranked	6	1054	236
825136	13	Ranked	7	1171	212
825141	22	Ranked	6	880	292
825142		Honorable	3	693	198
825143	13	Ranked	7	1001	297
825147		Honorable	5	739	248
825148	13	Ranked	7	997	216
825149	5	Bronze Medal	9	1232	272
825154		Honorable	5	907	213
825155		Honorable	4	880	290
825156	7	Ranked	9	1385	291
825157	13	Ranked	7	953	298
825264	22	Ranked	6	1290	281
825269	22	Ranked	6	1008	259
825276		Honorable	4	704	219
825593		Honorable	4	722	289
830493		Honorable	4	514	221
832194	13	Ranked	7	1258	291
832196	13	Ranked	7	1227	287
832804	22	Ranked	6	874	200
