	23136	973	A	Stanford Cardinal	Stanford University	Stanford	http://www.stanford.edu	USA	Y
	21575	973	A	UNR White	"University of Nevada, Reno"	UNR	http://www.cs.unr.edu	USA	Y
	22485	973	A	USF3	University of San Francisco	USF	http:/www.cs.usfca.edu	USA	Y
	23183	973	A	CSUS #2	"California State University, Sacramento"	Sac State	http://www.csus.edu	USA	Y
	22896	973	A	Pacific $HOME/team_name	University of the Pacific	UOP	http://www.uop.edu	USA	N
	21578	973	A	Berkeley Blue	University of California at Berkeley	UC Berkeley	http://www.berkeley.edu	USA	Y
	20833	973	A	DVC Green Vikings	Diablo Valley College	DVC	http://www.dvc.edu	USA	N
	23182	973	A	CSUS #1	"California State University, Sacramento"	Sac State	http://www.csus.edu	USA	Y
	23201	973	A	Davis Leftover	University of CA at Davis	UC Davis	http://www.ucdavis.edu/	USA	Y
	21574	973	A	UNR Blue	"University of Nevada, Reno"	UNR	http://www.cs.unr.edu	USA	Y
	21619	973	A	USF Gold	University of San Francisco	USF	http:/www.cs.usfca.edu	USA	Y
	23180	973	A	Wildcats 1	"California State University, Chico"	"CSU, Chico"	http://www.csuchico.edu	USA	Y
	21149	973	A	Stanford White	Stanford University	Stanford	http://www.stanford.edu	USA	Y
	20832	973	A	DVC Red Vikings	Diablo Valley College	DVC	http://www.dvc.edu	USA	N
	21148	973	A	Stanford Red	Stanford University	Stanford	http://www.stanford.edu	USA	Y
	22895	973	A	Pacific Vim	University of the Pacific	UOP	http://www.uop.edu	USA	N
	22627	973	A	Davis Beta	University of CA at Davis	UC Davis	http://www.ucdavis.edu/	USA	Y
	23284	973	A	CyberSlugs I	"University of California, Santa Cruz"	UCSC	http://www.ucsc.edu	USA	Y
	21746	973	A	HSU 3	Humboldt State University	HSU	http://www.humboldt.edu/	USA	N
